"name","birthdate","date_ordained","date_left","age_ordained","age_left","president","age_aps_1","age_aps_2","age_aps_3","age_aps_4","age_aps_5","age_aps_6","age_aps_7","age_aps_8","age_aps_9","age_aps_10","age_aps_11","age_aps_12","age_aps_13","age_aps_14","min_other_aps","num_younger_aps","birth_year"
"George Q. Cannon",1827-01-11,1860-08-26,1873-06-08,33,46,"No",51,43,53,49,51,41,39,46,46.625,46.625,46.625,46.625,46.625,46.625,39,0,1827
"George Q. Morris",1874-02-20,1954-04-08,1962-04-23,80,88,"No",77,55,54,59,53,64,57,56,68,67,48,59.8181818181818,59.8181818181818,59.8181818181818,48,14,1874
"George Teasdale",1831-12-08,1882-10-16,1907-06-09,51,76,"No",75,73,63,61,67,38,40,42,34,25,51.8,51.8,51.8,51.8,25,5,1831
"Gerrit W. Gong",1953-12-23,2018-03-31,2024-10-15,65,71,"No",93,85,89,77,84,65,77,77,73,66,65,62,67,59,59,2,1953
"Gordon B. Hinckley",1910-06-23,1961-10-05,1981-07-23,51,71,"Yes",85,62,62,66,60,64,64,75,55,87,53,66.6363636363636,66.6363636363636,66.6363636363636,53,0,1910
"Harold B. Lee",1899-03-28,1941-04-10,1970-01-23,42,71,"Yes",71,80,64,61,70,69,72,75,65,63,69,69,69,69,61,0,1899
"Heber C. Kimball",1801-06-14,1835-02-14,1847-12-27,34,46,"No",33,23,28,28,28,28,28,28,28,28,28,28,28,28,23,14,1801
"Heber J. Grant",1856-11-22,1882-10-16,1918-11-23,26,62,"Yes",75,73,63,61,67,38,40,42,34,50,54.3,54.3,54.3,54.3,34,0,1856
"Henry B. Eyring",1933-05-31,1995-04-01,2024-10-15,62,91,"No",70,72,88,68,70,62,66,77,66,62,54,68.6363636363636,68.6363636363636,68.6363636363636,54,1,1933
"Henry D. Moyle",1889-04-22,1947-04-10,1959-06-12,58,70,"No",86,70,67,75,78,71,48,47,52,46,49,62.6363636363636,62.6363636363636,62.6363636363636,46,5,1889
"Howard W. Hunter",1907-11-14,1959-10-10,1994-06-05,52,87,"Yes",83,60,60,64,58,62,62,73,53,85,75,66.8181818181818,66.8181818181818,66.8181818181818,53,0,1907
"Hugh B. Brown",1883-10-24,1958-04-10,1961-06-22,75,78,"No",81,59,58,63,57,68,61,60,72,52,84,65,65,65,52,12,1883
"Hyrum M. Smith",1872-03-21,1901-10-24,1918-01-23,29,46,"No",61,53,69,44,69,28,43,39,50.75,50.75,50.75,50.75,50.75,50.75,28,1,1872
"James E. Faust",1920-07-31,1978-09-30,1995-03-12,58,75,"No",79,77,92,70,68,51,54,63,63,56,72,67.7272727272727,67.7272727272727,67.7272727272727,51,3,1920
"James E. Talmage",1862-09-21,1911-12-08,1933-07-27,49,71,"No",71,55,49,39,41,38,50,56,59,35,49.3,49.3,49.3,49.3,35,4,1862
"Jeffrey R. Holland",1940-12-03,1994-06-23,2024-10-15,54,84,"No",69,71,87,73,67,69,61,65,77,65,61,69.5454545454545,69.5454545454545,69.5454545454545,61,0,1940
"John A. Widtsoe",1872-01-31,1921-03-17,1952-11-29,49,80,"No",59,50,47,60,65,44,58,41,50,48,52.2,52.2,52.2,52.2,41,4,1872
"John E. Page",1799-02-25,1838-12-19,1846-02-09,39,47,"No",37,37,33,27,31,38,27,30,32.5,32.5,32.5,32.5,32.5,32.5,27,14,1799
"John F. Boynton",1811-09-20,1835-02-15,1837-09-03,24,26,"No",33,33,23,35,27,30,29,23,29.125,29.125,29.125,29.125,29.125,29.125,23,2,1811
"John Henry Smith",1848-09-18,1880-10-27,1910-04-07,32,62,"No",73,71,61,59,66,36,38,40,55.5,55.5,55.5,55.5,55.5,55.5,36,0,1848
"John Taylor",1808-11-01,1838-12-19,1880-10-10,30,72,"Yes",37,37,33,27,31,38,27,39,33.625,33.625,33.625,33.625,33.625,33.625,27,2,1808
"John W. Taylor",1858-05-15,1884-05-15,1884-05-15,26,26,"No",77,65,63,69,39,42,44,35,52,27,51.3,51.3,51.3,51.3,27,0,1858
"John Willard Young",1844-10-01,1877-10-06,1891-10-03,33,47,"No",68,70,68,58,56,62,63.6666666666667,63.6666666666667,63.6666666666667,63.6666666666667,63.6666666666667,63.6666666666667,63.6666666666667,63.6666666666667,56,0,1844
"Joseph B. Wirthlin",1917-06-11,1986-10-04,2008-12-01,69,91,"No",78,62,71,64,80,66,60,62,54,57,65.4,65.4,65.4,65.4,54,11,1917
"Joseph F. Merrill",1868-08-24,1931-10-08,1952-02-03,63,84,"No",69,61,58,70,55,69,52,60,58,59,61.1,61.1,61.1,61.1,52,11,1868
"Joseph F. Smith",1838-11-13,1901-10-10,1901-10-17,63,63,"Yes",61,53,69,44,57,69,28,43,39,51.4444444444444,51.4444444444444,51.4444444444444,51.4444444444444,51.4444444444444,28,12,1838
"Joseph Fielding Smith",1876-07-19,1910-04-07,1970-01-23,34,94,"Yes",70,61,53,48,38,40,78,36,49,54,57,53.0909090909091,53.0909090909091,53.0909090909091,36,0,1876
"L. Tom Perry",1922-08-05,1974-04-06,2015-05-30,52,93,"No",74,73,77,88,66,63,46,71,49,58,58,65.7272727272727,65.7272727272727,65.7272727272727,46,2,1922
"LeGrand Richards",1886-02-06,1952-04-06,1983-01-11,66,97,"No",75,80,76,53,52,57,51,54,62,55,54,60.8181818181818,60.8181818181818,60.8181818181818,51,11,1886
"Lorenzo Snow",1814-04-03,1849-02-12,1873-06-08,35,59,"Yes",41,40,31,41,37,39,30,27,35.75,35.75,35.75,35.75,35.75,35.75,27,3,1814
"Luke Johnson",1807-11-03,1835-02-15,1837-09-03,28,30,"No",33,33,23,35,23,30,29,23,28.625,28.625,28.625,28.625,28.625,28.625,23,3,1807
"Lyman E. Johnson",1811-10-24,1835-02-14,1837-09-03,24,26,"No",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,1811
"Lyman Wight",1796-05-09,1841-04-08,1848-12-03,45,52,"No",39,39,33,29,42,32,23,34,36,34.1111111111111,34.1111111111111,34.1111111111111,34.1111111111111,34.1111111111111,23,14,1796
"M. Russell Ballard",1928-10-08,1985-10-06,2023-11-12,57,95,"No",86,77,58,61,70,63,79,65,59,61,53,66.5454545454545,66.5454545454545,66.5454545454545,53,1,1928
"Marion G. Romney",1897-09-19,1951-10-04,1972-07-07,54,75,"No",75,79,83,75,52,52,56,50,54,62,54,62.9090909090909,62.9090909090909,62.9090909090909,50,3,1897
"Mark E. Petersen",1900-11-07,1944-04-20,1984-01-11,44,84,"No",74,83,67,64,72,75,78,68,45,44,49,65.3636363636364,65.3636363636364,65.3636363636364,44,0,1900
"Marriner W. Merrill",1832-09-25,1889-10-07,1906-02-06,57,74,"No",68,74,45,47,49,41,57,32,30,45,48.8,48.8,48.8,48.8,30,11,1832
"Marvin J. Ashton",1915-05-06,1971-12-02,1994-02-25,56,79,"No",72,76,71,74,74,85,64,61,44,68,47,66.9090909090909,66.9090909090909,66.9090909090909,44,2,1915
"Matthew Cowley",1897-08-02,1945-10-11,1953-12-13,48,56,"No",84,69,66,73,77,80,69,46,46,50,44,64,64,64,44,3,1897
"Matthias F. Cowley",1858-08-25,1897-10-07,1905-10-28,39,47,"No",76,57,49,65,40,53,65,24,53.625,53.625,53.625,53.625,53.625,53.625,24,1,1858
"Melvin J. Ballard",1873-02-09,1919-01-07,1939-07-30,46,66,"No",56,48,45,57,63,66,42,56,39,48,52,52,52,52,39,3,1873
"Moses Thatcher",1842-02-02,1879-04-09,1896-04-06,37,54,"No",70,72,69,60,58,64,34,61,61,61,61,61,61,61,34,1,1842
"N. Eldon Tanner",1898-05-09,1962-10-11,1963-10-04,64,65,"No",86,63,63,67,61,65,65,76,56,54,52,64.3636363636364,64.3636363636364,64.3636363636364,52,6,1898
"Neal A. Maxwell",1926-07-06,1981-07-23,2004-07-21,55,78,"No",81,80,95,73,71,53,56,66,65,58,74,60,69.3333333333333,69.3333333333333,53,1,1926
"Neil L. Andersen",1951-08-09,2009-04-04,2024-10-15,58,73,"No",84,86,84,76,80,80,76,68,75,56,68,68,64,74.2307692307692,56,1,1951
"Orson F. Whitney",1855-07-01,1906-04-09,1931-05-16,51,76,"No",66,57,74,49,44,34,36,74,32,45,51.1,51.1,51.1,51.1,32,6,1855
"Orson Hyde",1805-01-08,1835-02-15,1839-05-04,30,34,"No",33,33,23,35,23,27,29,23,28.25,28.25,28.25,28.25,28.25,28.25,23,11,1805
"Orson Pratt",1811-09-19,1835-04-26,1842-08-20,24,31,"No",33,33,23,35,23,27,30,29,24,28,34,29,29,29,23,2,1811
"Parley P. Pratt",1807-04-12,1835-02-21,1857-05-13,28,50,"No",33,33,23,35,23,27,30,29,23,28.4444444444444,28.4444444444444,28.4444444444444,28.4444444444444,28.4444444444444,23,4,1807
"Patrick Kearon",1961-07-18,2023-12-07,2024-10-15,62,63,"No",99,91,83,90,71,83,83,78,72,71,68,72,69,65,65,0,1961
"Quentin L. Cook",1940-09-08,2007-10-06,2024-10-15,67,84,"No",83,85,83,75,78,90,78,75,66,74,55,66,75.6666666666667,75.6666666666667,55,3,1940
"Reed Smoot",1862-01-10,1900-04-08,1941-02-09,38,79,"No",60,51,68,43,55,67,27,41,43,50.5555555555556,50.5555555555556,50.5555555555556,50.5555555555556,50.5555555555556,27,1,1862
"Richard G. Scott",1928-11-07,1988-10-01,2015-09-22,60,87,"No",80,64,73,66,82,68,62,64,56,59,71,67.7272727272727,67.7272727272727,67.7272727272727,56,2,1928
"Richard L. Evans",1906-03-23,1953-10-08,1971-11-01,47,65,"No",77,54,54,58,52,56,64,56,56,67,66,60,60,60,52,0,1906
"Richard R. Lyman",1870-11-23,1918-04-07,1943-11-12,48,73,"No",61,56,48,44,57,62,65,41,55,38,52.7,52.7,52.7,52.7,38,3,1870
"Robert D. Hales",1932-08-24,1994-04-02,2017-10-01,62,85,"No",86,69,71,87,73,67,69,61,65,76,65,71.7272727272727,71.7272727272727,71.7272727272727,61,1,1932
"Ronald A. Rasband",1951-02-06,2015-10-03,2024-10-15,64,73,"No",91,83,86,83,74,82,63,74,75,70,64,62,60,74.3846153846154,60,3,1951
"Rudger Clawson",1857-03-12,1898-10-10,1901-10-06,41,44,"No",77,58,50,66,41,54,66,25,40,53,53,53,53,53,25,2,1857
"Russell M. Nelson",1924-09-09,1984-04-07,2024-10-15,60,100,"Yes",84,76,56,59,68,68,61,77,63,57,66.9,66.9,66.9,66.9,56,3,1924
"Spencer W. Kimball",1895-03-28,1943-10-07,1973-12-30,48,78,"Yes",73,82,67,64,72,71,75,78,67,44,44,67,67,67,44,2,1895
"Stephen L Richards",1879-06-18,1917-01-18,1951-04-09,38,72,"No",60,55,44,46,43,55,61,64,40,54,52.2,52.2,52.2,52.2,40,0,1879
"Sylvester Q. Cannon",1877-06-10,1939-10-06,1943-05-29,62,66,"No",77,69,78,63,60,68,67,71,74,63,69,69,69,69,60,1,1877
"Thomas B. Marsh",1800-11-01,1835-04-25,1839-03-17,35,39,"No",33,33,23,35,23,27,30,29,24,28,28.5,28.5,28.5,28.5,23,13,1800
"Thomas S. Monson",1927-08-21,1963-10-04,1985-11-10,36,58,"Yes",87,64,64,68,62,66,66,77,57,55,53,65,65.3333333333333,65.3333333333333,53,0,1927
"Ulisses Soares",1958-10-02,2018-03-31,2024-10-15,60,66,"No",93,85,89,77,84,65,77,77,73,66,65,62,67,64,62,0,1958
"Wilford Woodruff",1807-03-01,1839-04-26,1889-04-07,32,82,"Yes",37,37,34,28,32,27,40,30,21,31.7777777777778,31.7777777777778,31.7777777777778,31.7777777777778,31.7777777777778,21,9,1807
"Willard Richards",1804-06-24,1840-04-14,1847-12-27,36,43,"No",38,38,33,28,41,31,22,33,33,33,33,33,33,33,22,11,1804
"William E. McLellin",1806-01-18,1835-02-15,1838-05-11,29,32,"No",33,33,23,35,23,27,30,23,28.375,28.375,28.375,28.375,28.375,28.375,23,10,1806
"William Smith",1811-03-13,1835-02-15,1839-05-04,24,28,"No",33,33,23,35,23,27,30,29,29.125,29.125,29.125,29.125,29.125,29.125,23,2,1811
